"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
AAPL,NASDAQ,01.09.2020,09:13:00,131,131.1,129.04,130.99,62045
AAPL,NASDAQ,01.09.2020,13:56:00,134.66,134.8,134.56,134.73,436066
AAPL,NASDAQ,02.09.2020,09:59:00,129.9,130.07,127,128.7,3436627
AAPL,NASDAQ,02.09.2020,09:25:00,138.36,138.55,138.34,138.54,85325
AAPL,NASDAQ,03.09.2020,18:26:00,118.16,118.5,118.1,118.49,58395
AAPL,NASDAQ,03.09.2020,08:01:00,129.25,129.696,127.8,128.39,514023
AAPL,NASDAQ,04.09.2020,10:45:00,111.03,111.96,110.89,111.186,1535028
AAPL,NASDAQ,04.09.2020,09:37:00,122.893,123.7,122.66,123.28,1431732
AAPL,NASDAQ,08.09.2020,17:46:00,110.78,110.9,110.59,110.78,94332
AAPL,NASDAQ,08.09.2020,10:19:00,118.798,118.99,118.2,118.21,611432
AAPL,NASDAQ,09.09.2020,08:01:00,115.761,116.49,115.03,116.15,439525
AAPL,NASDAQ,09.09.2020,13:13:00,118.93,119.14,118.922,119.13,354954
AAPL,NASDAQ,10.09.2020,15:17:00,112.99,113.01,112.5,112.66,647343
AAPL,NASDAQ,10.09.2020,09:07:00,120.46,120.64,120.4,120.63,57100
AAPL,NASDAQ,11.09.2020,10:11:00,111.76,111.77,110,111.242,1090734
AAPL,NASDAQ,11.09.2020,08:01:00,114.858,115.45,114.55,115.351,290118
AAPL,NASDAQ,14.09.2020,13:33:00,113.345,113.4,112.8,112.91,793132
AAPL,NASDAQ,14.09.2020,18:13:00,115.96,116,115.94,115.98,4096
AAPL,NASDAQ,15.09.2020,15:09:00,113.855,114.24,113.61,114.04,1048081
AAPL,NASDAQ,15.09.2020,09:22:00,118.75,118.88,118.67,118.74,33332
AAPL,NASDAQ,16.09.2020,16:07:00,112.1,112.1,112,112.06,27559
AAPL,NASDAQ,16.09.2020,08:01:00,115.61,116.21,114.88,115.59,324427
AAPL,NASDAQ,17.09.2020,09:14:00,109.01,109.08,108.65,108.73,79781
AAPL,NASDAQ,17.09.2020,11:16:00,111.935,112.2,111.93,112.08,637756
AAPL,NASDAQ,18.09.2020,13:32:00,106.27,106.43,106.09,106.39,663542
AAPL,NASDAQ,18.09.2020,08:01:00,110.89,111.54,110.61,110.897,421092
AAPL,NASDAQ,21.09.2020,09:31:00,104.53,104.6,103.1,103.891,5047981
AAPL,NASDAQ,21.09.2020,16:04:00,110.45,110.7,110.44,110.45,86731
AAPL,NASDAQ,22.09.2020,11:03:00,109.625,109.63,109.16,109.22,638222
AAPL,NASDAQ,22.09.2020,09:29:00,112.4,112.94,112.39,112.64,100168
AAPL,NASDAQ,23.09.2020,17:49:00,105.99,105.99,105.8,105.86,15659
AAPL,NASDAQ,23.09.2020,09:44:00,111.98,112.11,111.82,111.88,503390
AAPL,NASDAQ,24.09.2020,09:06:00,104.89,105.18,104.8,105.07,56502
AAPL,NASDAQ,24.09.2020,12:07:00,110.095,110.25,109.94,110.03,497895
